timestamp,harness_version,config_fingerprint,endpoint_name,provider,model,base_url,thinking_effort,max_tokens,release_version,adaptive_thinking,checker_timeout,prompt_style,problem_id,difficulty,problem_number,run_idx,request_status,stop_reason,input_tokens,output_tokens,ttft_s,gen_time_s,generation_wall_s,total_wall_s,tokens_per_s,passed,error_type,error_message
2026-07-04T07:16:47.626702+00:00,3,48229f9536677007,openai-model-fast-v6-hard1-80-xhigh-v3,openai,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,https://api.openai.com/v1,xhigh,32000,v6,True,6,OpenAIChat,abc389_e,hard,7,3,completed,completed,432,2048,9.550962,0.337328,9.157001,9.967184,223.654,False,,
2026-07-04T07:17:00.299967+00:00,3,97792492a7126b72,anthropic-claude-fable-5-v6-hard1-80-xhigh-v3,anthropic,claude-fable-5,,xhigh,32000,v6,True,6,OpenAIChat,abc389_e,hard,7,3,completed,end_turn,571,12626,140.580889,5.656790,142.989910,146.274891,88.300,True,,
2026-07-04T07:19:29.508053+00:00,3,97792492a7126b72,anthropic-claude-fable-5-v6-hard1-80-xhigh-v3,anthropic,claude-fable-5,,xhigh,32000,v6,True,6,OpenAIChat,abc390_e,hard,8,1,completed,end_turn,897,1593,13.760480,5.984836,15.762663,19.988162,101.062,True,,
2026-07-04T07:19:52.369805+00:00,3,48229f9536677007,openai-model-fast-v6-hard1-80-xhigh-v3,openai,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,https://api.openai.com/v1,xhigh,32000,v6,True,6,OpenAIChat,abc390_e,hard,8,1,completed,completed,660,4430,21.106366,0.660713,20.555099,21.964282,215.518,True,,
2026-07-04T07:20:19.731709+00:00,3,48229f9536677007,openai-model-fast-v6-hard1-80-xhigh-v3,openai,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,https://api.openai.com/v1,xhigh,32000,v6,True,6,OpenAIChat,abc390_e,hard,8,2,completed,completed,660,1180,6.797677,0.346477,5.314968,7.204202,222.014,False,,
2026-07-04T07:20:29.305770+00:00,3,97792492a7126b72,anthropic-claude-fable-5-v6-hard1-80-xhigh-v3,anthropic,claude-fable-5,,xhigh,32000,v6,True,6,OpenAIChat,abc390_e,hard,8,2,completed,end_turn,897,2126,23.805607,4.423839,22.361956,28.241699,95.072,True,,
2026-07-04T07:21:00.105289+00:00,3,97792492a7126b72,anthropic-claude-fable-5-v6-hard1-80-xhigh-v3,anthropic,claude-fable-5,,xhigh,32000,v6,True,6,OpenAIChat,abc390_e,hard,8,3,completed,end_turn,897,2105,21.520104,3.725071,20.682514,25.333715,101.777,True,,
2026-07-04T07:21:28.289070+00:00,3,48229f9536677007,openai-model-fast-v6-hard1-80-xhigh-v3,openai,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,https://api.openai.com/v1,xhigh,32000,v6,True,6,OpenAIChat,abc390_e,hard,8,3,completed,completed,660,1319,6.554306,0.454962,5.902061,7.084872,223.481,False,,
2026-07-04T07:21:37.651089+00:00,3,48229f9536677007,openai-model-fast-v6-hard1-80-xhigh-v3,openai,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,https://api.openai.com/v1,xhigh,32000,v6,True,6,OpenAIChat,abc390_g,hard,9,1,completed,completed,507,4425,17.366948,0.981211,17.634973,18.440577,250.922,False,,
2026-07-04T07:21:58.427524+00:00,3,97792492a7126b72,anthropic-claude-fable-5-v6-hard1-80-xhigh-v3,anthropic,claude-fable-5,,xhigh,32000,v6,True,6,OpenAIChat,abc390_g,hard,9,1,completed,end_turn,684,7354,69.848094,10.388466,75.622215,80.251573,97.247,True,,
2026-07-04T07:23:26.842261+00:00,3,97792492a7126b72,anthropic-claude-fable-5-v6-hard1-80-xhigh-v3,anthropic,claude-fable-5,,xhigh,32000,v6,True,6,OpenAIChat,abc390_g,hard,9,2,completed,end_turn,684,12914,127.951641,12.363979,136.620784,140.338247,94.524,True,,
2026-07-04T07:25:53.256102+00:00,3,48229f9536677007,openai-model-fast-v6-hard1-80-xhigh-v3,openai,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,https://api.openai.com/v1,xhigh,32000,v6,True,6,OpenAIChat,abc390_g,hard,9,2,completed,completed,507,5804,24.863997,1.089685,23.918027,26.111874,242.662,True,,
